date,equity,realized_pnl_$,open_pnl_$,open_trades,peak,drawdown
2016-10-19,100003.09331941867,0.0,3.093319418661644,11,100003.09331941867,0.0
2016-10-20,99907.12731995167,0.0,-92.87268004832869,15,100003.09331941867,-0.0009596303102391568
2016-10-21,99782.74850700317,0.0,-217.25149299683778,21,100003.09331941867,-0.0022033799665746034
2016-10-24,100968.6700982747,0.0,968.6700982746949,25,100968.6700982747,0.0
2016-10-25,99994.65225980629,0.0,-5.34774019371077,31,100968.6700982747,-0.009646733363135152
2016-10-26,99710.76312639557,0.0,-289.23687360442835,38,100968.6700982747,-0.012458389029535444
2016-10-27,98897.43319948796,0.0,-1102.5668005120406,42,100968.6700982747,-0.020513659304126408
2016-10-28,97829.9812690699,0.0,-2170.0187309300973,48,100968.6700982747,-0.031085769735798796
2016-10-31,98529.51987698396,0.0,-1470.480123016036,55,100968.6700982747,-0.024157495774844495
2016-11-01,96830.41972933544,0.0,-3169.5802706645586,57,100968.6700982747,-0.04098548950789804
2016-11-02,96189.81203712973,0.0,-3810.1879628702786,59,100968.6700982747,-0.04733010800769799
2016-11-03,95491.44807301887,0.0,-4508.5519269811375,61,100968.6700982747,-0.0542467482232335
2016-11-04,94426.17402519145,-350.00000000000006,-5223.82597480856,61,100968.6700982747,-0.06479728877002455
2016-11-07,101109.09380082606,-350.00000000000006,1459.093800826061,73,101109.09380082606,0.0
2016-11-08,103660.51786723538,-350.00000000000006,4010.5178672353736,84,103660.51786723538,0.0
2016-11-09,102584.40215443553,-2100.0000000000005,4684.402154435534,86,103660.51786723538,-0.010381153161689749
2016-11-10,98991.2546232672,-3850.0000000000005,2841.2546232671993,82,103660.51786723538,-0.0450437962305803
2016-11-11,98065.07322040628,-3850.0000000000005,1915.0732204062801,84,103660.51786723538,-0.053978551930403684
2016-11-14,93353.76609237204,-4900.000000000001,-1746.2339076279577,83,103660.51786723538,-0.09942794023143753
2016-11-15,95741.8556938651,-4900.000000000001,641.8556938651005,85,103660.51786723538,-0.07639033970013742
