trade_id,ticker,entry_date,entry_price,tp_price,sl_price,exit_date,exit_price,exit_reason,pnl_pct,holding_days,holding_bars,rsi_at_entry
5380,AVGO,2016-10-19,13.2636,15.2532,12.3352,2016-12-15,13.9712,TIME STOP,5.3349,57,40,52.55
10842,CB,2016-10-19,106.7683,122.7836,99.2946,2016-12-15,112.1225,TIME STOP,5.0147,57,40,54.84
3699,CVX,2016-10-19,68.2826,78.525,63.5029,2016-12-12,78.525,TAKE PROFIT,15.0,54,37,53.77
3920,MRK,2016-10-19,44.074,50.685,40.9888,2016-12-15,44.7711,TIME STOP,1.5817,57,40,47.39
219,MSFT,2016-10-19,51.2918,58.9855,47.7013,2016-12-15,56.1711,TIME STOP,9.5129,57,40,51.81
7958,NEE,2016-10-19,24.4781,28.1499,22.7647,2016-11-10,22.7647,STOP LOSS,-7.0,22,16,53.83
11114,PLD,2016-10-19,40.0035,46.004,37.2033,2016-11-09,37.2033,STOP LOSS,-7.0,21,15,53.58
7046,TMO,2016-10-19,147.8237,169.9973,137.476,2016-11-28,137.476,STOP LOSS,-7.0,40,27,42.49
7705,TXN,2016-10-19,53.4138,61.4258,49.6748,2016-12-15,56.8707,TIME STOP,6.472,57,40,52.0
2629,V,2016-10-19,77.4705,89.0911,72.0476,2016-12-01,72.0476,STOP LOSS,-7.0,43,30,53.91
2153,XOM,2016-10-19,57.3447,65.9464,53.3306,2016-12-15,60.3213,TIME STOP,5.1908,57,40,54.0
3921,MRK,2016-10-20,44.1096,50.726,41.0219,2016-12-16,44.8213,TIME STOP,1.6136,57,40,47.75
7047,TMO,2016-10-20,147.6874,169.8405,137.3493,2016-11-28,137.3493,STOP LOSS,-7.0,39,26,42.13
7706,TXN,2016-10-20,53.6136,61.6557,49.8607,2016-12-16,56.4371,TIME STOP,5.2664,57,40,53.8
2630,V,2016-10-20,77.1805,88.7576,71.7779,2016-12-01,71.7779,STOP LOSS,-7.0,42,29,51.66
488,AMZN,2016-10-21,40.9495,47.0919,38.083,2016-11-04,38.083,STOP LOSS,-7.0,14,10,53.24
5381,AVGO,2016-10-21,13.3447,15.3464,12.4105,2016-12-02,12.4105,STOP LOSS,-7.0,42,29,54.49
6879,CRM,2016-10-21,73.1117,84.0784,67.9939,2016-12-01,67.9939,STOP LOSS,-7.0,41,28,52.98
11115,PLD,2016-10-21,40.0723,46.0832,37.2673,2016-11-09,37.2673,STOP LOSS,-7.0,19,13,53.67
